Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Yngve,Persson,Industrivägen 2,Västerås,54169,Sverige,SE,19980524-1532,+46,08-33 36 90,1998-05-24,True
Jan,Persson,Skogsgatan 275,Karlstad,35930,Sverige,SE,19630708-3615,+46,097-41 90 50,1963-07-08,True
Bjørg,Berge,Jørgensenbakken 7D,Johnsen,0567,Norge,NO,19890428-4333,+47,+47 14 15 48 07,1989-04-28,True
Brian,Anderson,Harris Freeway 81665,West Bradburgh,24663,Danmark,DK,19880219-9974,+45,367.972.3667x008,1988-02-19,True
Ernst,Karlsson,Skolgatan 74,Landskrona,68062,Sverige,SE,19900715-6821,+46,+46 (0)12 73 71 86,1990-07-15,True
Dagmar,Palm,Fabriksgatan 118,Eskilstuna,51181,Sverige,SE,19420204-2750,+46,08-65 08 12,1942-02-04,True
Alexis,Wood,Daniel Mall 6387,Jamesmouth,76483,Danmark,DK,19630701-4721,+45,001-452-605-5269x45340,1963-07-01,True
Irene,Axelsson,Björkvägen 4,Umeå,71525,Sverige,SE,19840304-9751,+46,+46 (0)961 734 70,1984-03-04,True
Magnus,Samuelsson,Furugränd 2,Mölndal,22282,Sverige,SE,19930703-3409,+46,+46 (0)48 40 96 49,1993-07-03,True
Christina,Johansson,Järnvägstorget 98,Lidingö,87387,Sverige,SE,19450911-1729,+46,+46 (0)8 082 403 26,1945-09-11,True
Ragnhild,Arnesen,Amundsenlia 53,Kjetiløy,0358,Norge,NO,19761215-7271,+47,18 81 34 98,1976-12-15,True
Liisa,Mäkinen,Porinkatu 56,Lemland,74479,Finland,FI,19500709-698D,+358,+358 347277336,1950-07-09,True
David,Rocha,Rick Shoals 719,Port Kellyview,64693,Danmark,DK,19670527-8266,+45,001-530-245-8931x499,1967-05-27,True
Anders,Johannessen,Fredriksenekra 9E,Eliassen,5689,Norge,NO,19470101-4765,+47,35577129,1947-01-01,True
Ingegärd,Andersson,Aspvägen 7,Trollhättan,65488,Finland,SE,19640301-0441,+46,+46 (0)26 55 38 66,1964-03-01,True
Madeleine,Jakobsson,Nyvägen 41,Trollhättan,14939,Sverige,SE,19940729-1951,+46,016-595 80 95,1994-07-29,True
Britta,Andersson,Järnvägsgränd 25,Borlänge,76788,Sverige,SE,19550823-3537,+46,08-351 82 03,1955-08-23,True
Curtis,Elliott,Miranda Branch 068,Scottview,22044,Danmark,DK,19511001-6907,+45,9386664183,1951-10-01,True
Maria,Fredriksson,Ekgatan 068,Trelleborg,75341,Sverige,SE,19980623-2564,+46,0209-22 96 32,1998-06-23,True
Johan,Pedersen,Kvarngränd 489,Östersund,35844,Sverige,SE,19781118-1167,+46,0568-76 95 07,1978-11-18,True
Christian,Karlsson,Kyrkovägen 72,Lund,47604,Sverige,SE,19450324-1271,+46,08-82 72 28,1945-03-24,True
Olof,Johansson,Ekgatan 0,Örebro,86092,Sverige,SE,19590606-4254,+46,08-19 13 15,1959-06-06,True
Karin,Karlsson,Fabriksstigen 679,Karlskoga,23278,Sverige,SE,19720829-0953,+46,0990-14 13 39,1972-08-29,True
Lovisa,Holm,Åkergatan 76,Eskilstuna,71865,Sverige,SE,19990516-2184,+46,08-40 42 73,1999-05-16,True
Nina,Larsson,Villagatan 4,Karlstad,14964,Sverige,SE,19710120-9916,+46,077-03 61 86,1971-01-20,True
Synnøve,Brekke,Arnesenskogen 8,Erikvær,4007,Norge,NO,19620727-4722,+47,80 01 85 74,1962-07-27,True
Linda,Hellström,Kyrkogränd 6,Växjö,17733,Sverige,SE,19790216-9543,+46,078-18 86 27,1979-02-16,True
Asbjørn,Rønning,Ødegårdjordet 8A,Kristiansen,9521,Norge,NO,19800201-8999,+47,944 09 532,1980-02-01,True
Kristoffer,Håkansson,Åkergatan 7,Örnsköldsvik,50873,Svvrige,SE,19760705-4076,+46,0447-77 00 51,1976-07-05,True
Magnus,Olsson,Storgatan 04,Norrköping,69200,Sverige,SE,19910504-3764,+46,025-78 84 23,1991-05-04,True
Jennifer,Lopez,Holland Wells 9597,Jasontown,48691,Danmark,DK,19571021-2906,+45,728-573-1809x447,1957-10-21,True
Inger,Larsson,Gengatan 749,Halmstad,34974,Sverige,SE,19580123-7823,+46,08-660 120 40,1958-01-23,True
Seth,Lee,Joshua Street 072,Petershaven,45016,Danmark,DK,19400524-5652,+45,378.225.4913x56320,1940-05-24,True
Sonja,Lindholm,Skolgatan 0,Borås,57020,Sverige,SE,19810316-8051,+46,0688-117 27,1981-03-16,True
Rune,Berntsen,Jakobsenhavna 7,Eriksen,7677,Norge,NO,19410207-8208,+47,26070428,1941-02-07,True
Eva,Andersson,Strandvägen 77,Sandviken,52447,Sverige,SE,19810410-2505,+46,+46 (0)50 21 43 28,1981-04-10,True
Hans,Petersson,Björkstigen 7,Örebro,35831,Sverige,SE,19420517-5061,+46,08-55 62 20,1942-05-17,True
John,Strand,Parkvägen 182,Varberg,74212,Sverige,SE,19460415-2289,+46,08-347 42 25,1946-04-15,True
Gunnar,Johansen,Lienstien 96,Aasen,9267,Norge,NO,19801016-6833,+47,434 59 255,1980-10-16,True
Gunnar,Lindholm,Skogsvägen 18,Göteborg,66794,Sverige,SE,19440803-2485,+46,08-46 66 29,1944-08-03,True
Lillemor,Englund,Idrottsgränd 610,Mölndal,37217,Sverige,SE,19700502-6203,+46,+46 (0)95 15 10 15,1970-05-02,True
Douglas,Williams,Darrell Cove 08422,Josephside,23162,Danmark,DK,19831122-1330,+45,218.820.1396x617,1983-11-22,True
Crystal,Villanueva,Hawkins Mountain 838,Quinnmouth,97155,Danmark,DK,19660804-8641,+45,302-388-6205x080,1966-08-04,True
Julie,Johnsen,Aliåsen 28,Isaksen,5431,Norge,NO,19960911-5235,+47,49055324,1996-09-11,True
Einar,Strandberg,Parkgatan 922,Karlskrona,93691,Sverige,SE,19731007-3017,+46,+46 (0)8 765 973 48,1973-10-07,True
Elisabet,Martinsson,Granstigen 175,Umeå,62874,Sverige,SE,19730726-1232,+46,0773-593 23,1973-07-26,True
Martin,Holm,Kvarnstigen 525,Varberg,22946,Sverige,SE,19460605-7955,+46,080-73 71 65,1946-06-05,True
Thea,Amundsen,Myhreløkka 851,Mathisen,0174,Norge,NO,19401215-5906,+47,958 01 746,1940-12-15,True
Lena,Vikström,Stationstorget 743,Alingsås,94927,Sverige,SE,19850225-3297,+46,+46 (0)8 638 457 92,1985-02-25,True
Hanne,Jacobsen,Myklebustløkka 8,Mikkelsen,6945,Norge,NO,19900704-0021,+47,950 99 786,1990-07-04,True
Sverre,Vik,Bergemoen 69,Thorberg,0212,Sverige,NO,19990925-3612,+47,41597871,1999-09-25,True
Anders,Johansson,Ekvägen 07,Trelleborg,78784,Sverige,SE,19920125-6042,+46,+46 (0)40 64 35 62,1992-01-25,True
Randi,Sørensen,Bergeeggen 8E,Håkonø,5768,Norge,NO,19500511-6882,+47,90726172,1950-05-11,True
Ida,Aas,Jenssenstykket 5,Thomassen,3346,Norge,NO,19950604-2121,+47,71 36 31 08,1995-06-04,True
Kenneth,Aune,Evensenhagen 4,Haraldgrunn,8625,Norge,NO,19410109-0540,+47,46627502,1941-01-09,True
Daniel,Stone,Jennings Fields 1130,Kristenside,56488,Danmark,DK,19950706-8262,+45,(982)262-6501x578,1995-07-06,True
Juhani,Korhonen,Rapakiventie 86,Hanko,63276,Finland,FI,19800520-882L,+358,0399729769,1980-05-20,True
Jenny,Nord,Kyrkvägen 145,Skövde,24447,Sverige,SE,19750801-7706,+46,+46 (0)8 848 500 49,1975-08-01,True
Urban,Eriksson,Trädgårdsgatan 1,Jönköping,63564,Sverige,SE,19870127-8593,+46,+46 (0)8 157 688 86,1987-01-27,True
Eemeli,Laakso,Gadolininkuja 3,Alajärvi,61021,Finland,FI,19410318-713M,+358,+358127459603,1941-03-18,True
Rolf,Simonsen,Solheimstubben 4,Hauge,2804,Norge,NO,19741004-7348,+47,+4705448384,1974-10-04,True
Annika,Karhu,Ahvenkoskentie 49,Lappajärvi,00678,Finland,FI,19400319-0837,+358,0642634564,1940-03-19,True
Erik,Danielsson,Aspgränd 112,Uddevalla,65744,Sverige,SE,19910910-1769,+46,0834-746 43,1991-09-10,True
Elsie,Jonsson,Ängsgränd 166,Falun,21894,Sverige,SE,19701207-5085,+46,0798-122 60,1970-12-07,True
Karl,Stenberg,Idrottsgatan 557,Stockholm,92773,Sverige,SE,19620704-8014,+46,08-81 82 32,1962-07-04,True
Torill,Moe,Olsensvingen 12,Haugen,9396,Norge,NO,19421015-6470,+47,47561411,1942-10-15,True
Ester,Johansson,Skolgränd 8,Karlskrona,91813,Sverige,SE,19850807-9111,+46,001-845 29 96,1985-08-07,True
Tyler,Marshall,Moss Underpass 58586,Lake David,53033,Danmark,DK,19981103-7015,+45,+1-711-267-4788x86906,1998-11-03,True
Margareta,Gunnarsson,Ringvägen 65,Lidingö,35876,Sverige,SE,19440314-4790,+46,08-847 048 61,1944-03-14,True
Eva,Mårtensson,Fabriksvägen 4,Norrköping,43457,Sverige,SE,19521003-6817,+46,047-15 00 42,1952-10-03,True
Birgitta,Johansson,Villagatan 6,Karlskrona,92329,Sverige,SE,19810714-2794,+46,087-92 83 67,1981-07-14,True
Darrell,Donaldson,Kevin Lodge 726,Reynoldsmouth,17997,Danmark,DK,19520225-5235,+45,3563234095,1952-02-25,True
Anthony,Henderson,Autumn Ports 4936,Floydberg,81985,Danmark,DK,19850607-5007,+45,(329)429-8664x0668,1985-06-07,True
Lennart,Andersson,Grantorget 375,Eskilstuna,49593,Sverige,SE,19931214-7774,+46,08-608 139 97,1993-12-14,True
Sigrid,Isaksson,Asptorget 8,Luleå,43620,Sverige,SE,19681006-0750,+46,08-120 911 23,1968-10-06,True
Christina,Pedersen,Nystigen 68,Malmö,74903,Sverige,SE,19551231-2229,+46,+46 (0)779 124 82,1955-12-31,True
Christopher,Ramsey,Martin Knoll 160,Davisfort,01469,Danmark,DK,19771130-5781,+45,(277)349-1040x91925,1977-11-30,True
Christina,Arnold,Robin Via 291,West Keith,62918,Danmark,DK,19750124-2196,+45,632.529.9655x29648,1975-01-24,True
Emma,Björklund,Genvägen 142,Gävle,56637,Sverige,SE,19860625-0085,+46,092-81 30 60,1986-06-25,True
Ingrid,Andersson,Parkgatan 23,Motala,78092,Sverige,SE,19600519-1947,+46,08-645 374 60,1960-05-19,True
John,Hahn,Kent Gateway 13780,East Jenniferton,62128,Danmark,DK,19960104-6648,+45,(665)217-4877,1996-01-04,True
Lars,Lindqvist,Genvägen 928,Karlskrona,41734,Sverige,SE,19540730-2506,+46,08-146 595 68,1954-07-30,True
Markus,Dahl,Myklebuststykket 8,Edvardsen,5155,Norge,NO,19471221-0855,+47,972 44 946,1947-12-21,True
Karl,Larsson,Furutorget 101,Luleå,84483,Sverige,SE,19590127-9563,+46,+46 (0)8 395 427 56,1959-01-27,True
Karl,Sæther,Johansengropa 2,Berg,3710,Norge,NO,19790814-3085,+47,+47 18 96 07 61,1979-08-14,True
Ingeborg,Moen,Dahlgropa 6,Petterby,5568,Norge,NO,19820117-2689,+47,79083211,1982-01-17,True
Tapio,Lehtonen,Niittylänbulevardi 912,Hammarland,74803,Finland,FI,19780623-782M,+358,0056802751,1978-06-23,True
Ulrika,Nilsson,Gentorget 4,Gävle,45856,Sverige,SE,19521018-5490,+46,055-391 11 90,1952-10-18,True
Rita,Halvorsen,Eliassenlunden 096,Karolinesund,2090,Norge,NO,19951121-0582,+47,940 84 303,1995-11-21,True
Madeline,Rodriguez,Brooke Passage 967,East Ralphbury,84939,Danmark,DK,19891209-0921,45,355-446-7460x2881,1989-12-09,True
Lennart,Larsson,Stationsgatan 500,Piteå,67679,Sverige,SE,19481223-1528,+46,0598-39 20 04,1948-12-23,True
Margareta,Olsson,Åkertorget 477,Norrköping,58304,Sverige,SE,19890729-8447,+46,08-88 36 05,1989-07-29,True
Jenny,Nilsson,Kyrkvägen 6,Södertälje,95329,Sverige,SE,19550918-6558,+46,0115-896 36,1955-09-18,True
Robert,Jacobsen,Hauglandplassen 9,Tangen,7429,Norge,NO,19570530-1990,+47,30688189,1957-05-30,True
Asbjørn,Aasen,Kristoffersenbakken 5,Danielsen,8366,Norge,NO,19790425-4354,+47,58003263,1979-04-25,True
Johan,Söderström,Nytorget 93,Kalmar,28118,Sverige,SE,19450124-9052,+46,089-99 25 47,1945-01-24,True
Anders,Lind,Industrigränd 937,Landskrona,88404,Sverige,SE,19550629-6604,+46,+46 (0)8 094 677 68,1955-06-29,True
Siv,Sundin,Skogsstigen 954,Östersund,59627,Sverige,SE,19850930-2199,+46,0771-16 74 24,1985-09-30,True
Ann,Eliassen,Christensentunet 22,Jensen,4187,Norge,NO,19780304-5274,+47,25842186,1978-03-04,True
Vilhelm,Andersson,Ringvägen 66,Ängelholm,26646,Sverige,SE,19491126-1385,+46,+46 (0)753 076 72,1949-11-26,True
Maria,Andersson,Industrivägen 5,Lidingö,58433,Sverige,SE,19910428-1823,+46,0180-83 11 69,1991-04-28,True
Elsa,Roos,Parkgatan 27,Karlskrona,53299,Sverige,SE,19520114-9642,+46,08-27 31 84,1952-01-14,True
Maria,Jansson,Bäcktorget 4,Mölndal,48792,Sverige,SE,19511008-0931,+46,+46 (0)00 84 97 92,1951-10-08,True
Louise,Nilsson,Järnvägsgatan 66,Karlskoga,61118,Sverige,SE,19960327-3926,+46,0234-726 93,1996-03-27,True
Lisa,Fitzgerald,Nathan Grove 82124,Bobbybury,76729,Danmark,DK,19430907-6665,+45,001-252-848-1236x81815,1943-09-07,True
Stacey,Reyes,Amanda Neck 4112,Port Anthony,54679,Danmark,DK,19910823-3215,+45,(721)919-0423x1778,1991-08-23,True
Åke,Törnqvist,Skolvägen 962,Falun,82493,Sverige,SE,19840605-7909,+46,0978-102 12,1984-06-05,True
Dag,Nygård,Sandvikvika 1,Martinsen,7280,Norge,NO,19950215-1011,+47,34469846,1995-02-15,True
Maria,Nyberg,Furustigen 345,Stockholm,18043,Sverige,SE,19950615-4738,+46,08-27 41 68,1995-06-15,True
Jenny,Andreassen,Karlsenbråten 5,Fredrikfoss,4836,Norge,NO,19570530-2691,+47,930 69 227,1957-05-30,True
Sami,Ylönen,Elontie 807,Merikarvia,27562,Finland,FI,19671104-7961,+358,+358 026094629,1967-11-04,True
Anna,Söderström,Industrigatan 97,Skellefteå,13640,Sverige,SE,19510629-2298,+46,+46 (0)60 23 70 49,1951-06-29,True
Amanda,Charles,Hayley Common 831,North Jesse,82698,Danmark,DK,19960419-1409,+45,(582)213-6356,1996-04-19,True
Adrian,Arnesen,Haugenhøgda 96,Joakimsjøen,7809,Norge,NO,19821021-4919,+47,40320464,1982-10-21,True
Göran,Karlsson,Kyrkgatan 71,Lidköping,16026,Sverige,SE,19521224-6930,+46,+46 (0)727 625 08,1952-12-24,True
Håkan,Gustafsson,Storgränd 823,Växjö,75807,Sverige,SE,19621201-8340,+46,+46 (0)756 017 31,1962-12-01,True
Klas,Sjöström,Stationsgatan 95,Sundsvall,48524,Sverige,SE,19940320-3481,+46,0702-04 86 09,1994-03-20,True
Emilia,Rauhala,Vanha Rajatie 7,Huittinen,94965,Finland,FI,19530715-830X,+358,+358206352741,1953-07-15,True
Rune,Eriksson,Bäckvägen 035,Mölndal,90866,Sverige,SE,20000309-5199,+358,08-83 82 31,2000-03-09,True
Sylvia,Svensson,Parkstigen 4,Uddevalla,70802,Sverige,SE,19711006-2798,+46,+46 (0)8 426 803 04,1971-10-06,True
Rachel,Cobb,Tanner Rue 337,Port Michaelfurt,65274,Danmark,DK,19870924-6531,+45,830-886-2195,1987-09-24,True
Mats,Ståhl,Åkervägen 570,Karlstad,68836,Sverige,SE,19570407-7362,+46,08-729 64 41,1957-04-07,True
Sven,Larsson,Åkervägen 65,Trollhättan,17570,Sverige,SE,19700116-4990,+46,08-818 352 26,1970-01-16,True
Elin,Johansson,Kyrkvägen 771,Lidingö,14969,Sverige,SE,19901111-0745,+46,0911-53 06 42,1990-11-11,True
Gustav,Olsson,Ekstigen 842,Norrköping,46699,Sverige,SE,19920204-5334,+46,08-550 055 91,1992-02-04,True
Irene,Persson,Björkgatan 81,Linköping,87919,Sverige,SE,19970323-8519,+46,0237-871 99,1997-03-23,True
Heather,Johnson,Schroeder Manors 0633,East Paula,44915,Danmark,DK,19780804-9634,+45,752-988-4773x90474,1978-08-04,True
Kristina,Eriksson,Nytorget 9,Umeå,30383,Sverige,SE,19720906-1617,+46,08-57 21 45,1972-09-06,True
Todd,Fletcher,Denise Hollow 377,Lake Danielport,37173,Danmark,DK,19840520-0446,+45,6013395200,1984-05-20,True
Susan,Williams,Michael Extension 24286,Norrisberg,13146,Danmark,DK,19471003-5952,+45,2747516769,1947-10-03,True
Jon,Edvardsen,Hauglandstubben 02,Torbø,8510,Norge,NO,19951001-3718,+47,57 05 21 55,1995-10-01,True
Gunn,Hansen,Mikkelsengata 84,Christensen,1516,Norge,NO,19491227-9735,+47,15751604,1949-12-27,True
Ivar,Aune,Fredriksenplassen 52G,Ruud,7072,Norge,NO,19450906-9908,+47,27020207,1945-09-06,True
Tony,Stewart,Julie Greens 07814,Brandonview,92837,Danmark,DK,19530812-0233,+45,(980)488-7893x89675,1953-08-12,True
Taina,Kokko,Dosentinbulevardi 6,Taipalsaari,90627,Finland,FI,19950429-451F,+358,+358 34 3702598,1995-04-29,True
Louise,Karlsson,Idrottsgatan 681,Sundsvall,81721,Sverige,SE,19640331-2042,+46,08-266 97 98,1964-03-31,True
Håkan,Boström,Backtorget 26,Helsingborg,56138,Sverige,SE,19420620-3709,+46,0849-23 97 81,1942-06-20,True
Linnéa,Olsson,Kvarnvägen 55,Stockholm,12309,Sverige,SE,19810724-1740,+46,08-617 44 81,1981-07-24,True
Cecilia,Andreasson,Villavägen 675,Alingsås,19715,Sverige,SE,19410505-0664,+46,0803-45 64 07,1941-05-05,True
Maria,Karlsson,Furuvägen 73,Östersund,27681,Sverige,SE,19670210-7002,+46,0329-479 21,1967-02-10,True
Ingrid,Hägglund,Fabriksgatan 9,Östersund,71768,Sverige,SE,19400506-1080,+46,085-27 73 31,1940-05-06,True
Ingvar,Axelsson,Fabriksgränd 593,Växjö,94880,Sverige,SE,20000827-0158,+46,+46 (0)604 311 61,2000-08-27,True
Jesper,Carlsson,Kvarntorget 621,Norrköping,95280,Sverige,SE,19810731-3593,+46,0728-82 94 14,1981-07-31,True
Ida,Antonsen,Jakobsenmyra 2,Arnesen,5015,Norge,NO,19821104-6881,+47,27919523,1982-11-04,True
Sven,Magnusson,Kyrkstigen 5,Landskrona,74325,Sverige,SE,19430804-9125,+46,08-63 48 49,1943-08-04,True
Monica,Nilsson,Industrivägen 638,Motala,11343,Sverige,SE,19850612-2084,+46,08-37 40 93,1985-06-12,True
Mikael,Lindqvist,Villatorget 697,Linköping,29551,Sverige,SE,19480711-5671,+46,+46 (0)8 172 323 23,1948-07-11,True
Henry,Olsson,Backvägen 1,Göteborg,22805,Sverige,SE,19491012-2080,+46,0837-23 62 42,1949-10-12,True
Catharina,Olsson,Ekvägen 22,Helsingborg,66534,Sverige,SE,19470612-0883,+46,0595-38 57 10,1947-06-12,True
Astrid,Paulsen,Karlsenbakken 21,Camillaås,8946,Norge,NO,19630717-8633,+47,63425978,1963-07-17,True
Tammy,Lynch,Hopkins Neck 738,West Tiffany,71469,Danmark,DK,19420115-3359,+45,+1-659-357-6254x3562,1942-01-15,True
Maria,Andersson,Grangatan 70,Karlstad,41466,Sverige,SE,19770512-2993,+46,08-36 13 24,1977-05-12,True
Marie,Lindberg,Industrivägen 73,Ängelholm,26838,Sverige,SE,19900705-5507,+46,08-48 69 88,1990-07-05,True
Niko,Alatalo,Fallpakanpolku 9,Muhos,42851,Finland,FI,19511125-8639,+358,+358982636753,1951-11-25,True
Peter,Björk,Ekstigen 98,Lund,77342,Sverige,SE,19870323-8993,+46,+46 (0)19 13 97 00,1987-03-23,True
Stig,Andersson,Ängsvägen 566,Falun,16544,Sverige,SE,19821014-0960,+46,0114-93 04 15,1982-10-14,True
Greta,Persson,Skolvägen 8,Gävle,84218,Sverige,SE,19581013-2367,+46,+46 (0)24 33 85 32,1958-10-13,True
Anders,Persson,Asptorget 19,Varberg,47741,Sverige,SE,19500712-8720,+46,0393-990 26,1950-07-12,True
Thomas,Lewis,Hensley Inlet 93106,Rebeccaview,81281,Danmark,DK,19740115-2595,+45,+1-671-966-7476x6662,1974-01-15,True
Margareta,Holmgren,Kyrktorget 34,Uddevalla,27638,Sverige,SE,19580516-0168,+46,+46 (0)032 313 62,1958-05-16,True
Christer,Larsson,Järnvägsvägen 527,Karlstad,14178,Sverige,SE,19701220-5605,+46,0293-28 36 31,1970-12-20,True
Emilie,Jensen,Henriksenmoen 6,Haugen,3828,Norge,NO,19501111-0224,+47,+4752589212,1950-11-11,True
Sindre,Larsen,Gundersengrenda 6,Fredriksen,6883,Norge,NO,19621124-3749,+47,91211278,1962-11-24,True
Michael,Stevenson,Watson Points 6250,Mcknightborough,04856,Danmark,DK,19911123-3566,+45,+1-453-633-5837x576,1991-11-23,True
Maria,Persson,Nygränd 48,Malmö,99864,Sverige,SE,19790223-7986,+46,0433-288 17,1979-02-23,True
Evelina,Jakobsson,Skolgatan 35,Kalmar,28908,Sverige,SE,19710604-9558,+46,08-809 052 29,1971-06-04,True
Britt,Johansson,Åkergatan 196,Kalmar,42647,Sverige,SE,19660522-5887,+46,08-19 80 19,1966-05-22,True
Lennart,Jonsson,Idrottsgatan 00,Örebro,29482,Sverige,SE,19830405-8285,+46,+46 (0)747 158 59,1983-04-05,True
Reidun,Andreassen,Jørgensentoppen 86A,Alexanderøy,1244,Norge,NO,19940118-9711,+47,919 28 706,1994-01-18,True
Antti,Oksanen,Maasälvänkatu 61,Korsnäs,64052,Finland,FI,19910829-382Y,+358,020 766 1266,1991-08-29,True
Vilhelm,Andersson,Parkgränd 05,Halmstad,68171,Sverige,SE,19710206-0171,+46,+46 (0)37 29 24 62,1971-02-06,True
Tove,Nygård,Antonsenhagen 9D,Aasen,8745,Norge,NO,19630922-7145,+47,952 40 907,1963-09-22,True
Charlotta,Larsson,Parkgränd 722,Västerås,10820,Sverige,SE,19920216-9279,+46,0489-43 78 47,1992-02-16,True
Joseph,Moore,Elijah Estate 0991,Debbiechester,22168,Danmark,DK,19860527-9774,+45,681-397-8633x182,1986-05-27,True
Mira,Turunen,Ostospolku 4,Loppi,22335,Finland,FI,19730807-125F,+358,+358 33 9173072,1973-08-07,True
Maria,Jönsson,Stationsgränd 334,Uppsala,58393,Sverige,SE,19960628-3426,+46,0522-10 20 21,1996-06-28,True
Sofia,Karlsson,Kyrkogatan 5,Lidköping,11188,Sverige,SE,19650903-5454,+46,+46 (0)8 681 848 79,1965-09-03,True
Thomas,Ahmed,Andersengrenda 1,Idastrøm,7268,Norge,NO,19830311-0688,+47,29 03 66 44,1983-03-11,True
Håkan,Dahlberg,Kvarngränd 55,Örebro,46857,Sverige,SE,19510607-7382,+46,+46 (0)13 96 83 42,1951-06-07,True
Linn,Sørensen,Jacobsenstykket 9,Jørgensen,3484,Norge,NO,19530910-2307,+47,95789566,1953-09-10,True
Astrid,Andersson,Nygatan 4,Lidingö,11451,Sverige,SE,19900124-5211,+46,045-97 81 32,1990-01-24,True
Johanna,Koskinen,Katajaharjunpolku 0,Halsua,75034,Finland,FI,19881017-865C,+358,+358 977113931,1988-10-17,True
Viola,Eliasson,Skoltorget 074,Skövde,59330,Sverige,SE,19751125-1667,+46,+46 (0)8 342 455 76,1975-11-25,True
Matilda,Lahti,Runokylänkatu 296,Pieksämäki,61372,Finland,FI,19561119-843Y,+358,+358 38 0186746,1956-11-19,True
Jorunn,Christensen,Eriksenlyngen 7,Kristinedal,7226,Norge,NO,19910901-7909,+47,997 19 089,1991-09-01,True
Helena,Johansson,Björkvägen 20,Halmstad,34820,Sverige,SE,19411214-2658,+46,030-178 10 05,1941-12-14,True
Anna,Eriksson,Strandgatan 4,Stockholm,21450,Sverige,SE,19570803-8667,+46,08-538 180 49,1957-08-03,True
Alexandra,Kolehmainen,Elimäenbulevardi 6,Lumparland,81372,Finland,FI,19810619-693X,+358,0131373524,1981-06-19,True
Kristin,Ahmed,Amundsenekra 1,Evensen,3984,Norge,NO,19970330-6712,+47,96276521,1997-03-30,True
Märta,Nilsson,Ringtorget 333,Ängelholm,29321,Sverige,SE,19480803-2213,+46,+46 (0)8 628 145 08,1948-08-03,True
Anna,Larsson,Skolvägen 98,Örebro,17845,Sverige,SE,19630806-8156,+46,073-289 60 26,1963-08-06,True
Martin,Holmgren,Ekgatan 441,Lidingö,86097,Sverige,SE,19840817-8024,+46,08-867 402 95,1984-08-17,True
Anna,Karlsson,Stortorget 62,Sandviken,60112,Sverige,SE,19570928-4828,+46,08-395 21 15,1957-09-28,True
April,Shaw,Holt Pass 236,Oconnellfort,08807,Danmark,DK,19930312-3038,+45,+1-405-445-0020x776,1993-03-12,True
Maria,Turunen,Birger Kaipiaisen kuja 6,Inari,84086,Finland,FI,19880423-320C,+358,066 431 1216,1988-04-23,True
Charles,Graham,Simmons Mountain 42874,Lake Leah,54473,Danmark,DK,19900717-8408,+45,+1-871-894-0570,1990-07-17,True
Bengt,Törnqvist,Gentorget 542,Karlskoga,13347,Sverige,SE,19620116-6572,+46,08-620 413 50,1962-01-16,True
Sverre,Larsen,Rønninghavna 92,Sivstad,6845,Norge,NO,19820219-2439,+47,421 74 188,1982-02-19,True
Bengt,Lindell,Ringstigen 6,Alingsås,87366,Sverige,SE,19500909-0375,+46,08-91 80 94,1950-09-09,True
Margareta,Alm,Idrottsgatan 65,Linköping,63693,Sverige,SE,19650403-6835,+46,079-63 58 40,1965-04-03,True
Vilde,Nguyen,Jensenflata 9,Mettesund,2562,Norge,NO,19610807-1919,+47,32 74 83 75,1961-08-07,True
Adam,Ruiz,Young Gateway 186,West Lisa,85473,Danmark,DK,19451226-6585,+45,+1-290-870-5191,1945-12-26,True
Cecilie,Arnesen,Strømmyra 05D,Erlingby,7773,Norge,NO,19440129-8108,+47,18521021,1944-01-29,True
Edvin,Lindgren,Ängsgränd 69,Skellefteå,92007,Sverige,SE,19530910-8355,+46,08-320 60 37,1953-09-10,True
Gustav,Olofsson,Björkgränd 66,Malmö,34513,Sverige,SE,19881014-6260,+46,08-818 957 24,1988-10-14,True
Kjell,Karlsson,Industrivägen 5,Luleå,39300,Sverige,SE,19480831-0641,+46,0534-684 32,1948-08-31,True
Kristopher,Baird,Matthew Gardens 4165,Lake Kimberly,42976,Danmark,DK,19630719-7330,+45,001-740-337-8073x0602,1963-07-19,True
Märta,Hagström,Trädgårdsvägen 681,Sundsvall,38765,Sverige,SE,19470504-4492,+46,08-015 406 66,1947-05-04,True
Bente,Arnesen,Brekkelunden 9,Johansen,8365,Norge,NO,19960131-6485,+47,37787749,1996-01-31,True
Juha,Niskanen,Fahlanderin puistotie 80,Parkano,62910,Finland,FI,19681021-1627,+358,+358 016676697,1968-10-21,True
Marit,Larsen,Lundhavna 174,Lunde,7403,Norge,NO,19650603-1305,+47,+47 26 87 11 34,1965-06-03,True
Javier,Everett,King Mission 72460,Franciscoview,13040,Danmark,DK,19400726-4643,+45,001-863-880-6239x2411,1940-07-26,True
Eleonora,Jansson,Nygatan 95,Göteborg,25750,Sverige,SE,19941017-7962,+46,0864-657 54,1994-10-17,True
Rita,Ødegård,Solberggjerdet 5,Rønning,1162,Norge,NO,19911223-8508,+47,76 09 37 77,1991-12-23,True
Nicole,Cooper,Mark Common 0288,Wagnerhaven,89938,Danmark,DK,19420104-0886,+45,001-990-790-1668x31557,1942-01-04,True
Iris,Larsson,Ängsvägen 89,Umeå,94826,Sverige,SE,19620908-4297,+46,08-042 20 79,1962-09-08,True
